VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,2.046,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_C.wav,3,NEW,space,38.08,3,1,2.152,0,0,0,0,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.704,0,1,1,1,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.552,0,2,2,2,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.507,0,3,3,3,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.752,0,4,4,4,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,0.52,0,5,5,5,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.389,0,6,6,6,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,3,1,0.605,0,7,7,7,1,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_F.wav,3,NEW,,,3,1,0.34,0,8,8,8,1,,
