VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Crow_B.wav,3,NEW,C,,,3,1,1.153,0,59,59,59,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Trumpet_B.wav,3,NEW,C,,,3,1,0.895,0,60,60,60,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,1,OLD,C,,,1,1,0.358,0,61,61,61,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,OLD,C,,,1,1,0.322,0,62,62,62,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_C.wav,3,NEW,C,,,3,1,0.271,0,63,63,63,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,1,OLD,C,,,1,1,0.85,0,64,64,64,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chime_B.wav,3,NEW,C,,,3,1,0.814,0,65,65,65,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,C,,,3,1,0.269,0,66,66,66,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,1,OLD,C,,,1,1,0.322,0,67,67,67,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,3,NEW,C,,,3,1,0.305,0,68,68,68,1,,
