VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,2.368175,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_C.wav,2,3,NEW,A,space,3.369455,2,1,1.491915,0,0,0,0,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,2,3,NEW,A,,,2,1,0.41756,0,1,1,1,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,A,,,2,1,0.36515,0,2,2,2,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,A,,,2,1,0.235345,0,3,3,3,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,2,3,NEW,A,,,2,1,0.459985,0,4,4,4,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_D.wav,2,3,NEW,A,,,2,1,0.427225,0,5,5,5,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,A,,,2,1,0.25356,0,6,6,6,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,2,3,NEW,A,,,2,1,0.25847,0,7,7,7,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Baby_F.wav,2,3,NEW,A,,,2,1,0.268275,0,8,8,8,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,1,1,OLD,A,,,1,1,0.397545,0,9,9,9,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Mosquito_B.wav,2,3,NEW,A,,,2,1,0.241165,0,10,10,10,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/DialTone.wav,2,3,NEW,A,,,2,1,0.242385,0,11,11,11,1,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_D.wav,2,2,SIMILAR,A,,,1,0,0.19044,0,12,12,12,1,,
