,,,SoundMST/Goat_B.wav,2,3,NEW,,,
,,,SoundMST/HairDryer_A.wav,1,1,OLD,,,
,,,SoundMST/Cuckoo_A.wav,1,1,OLD,,,
,,,SoundMST/Coin_D.wav,2,3,NEW,,,
,,,SoundMST/Howl.wav,2,3,NEW,,,
,,,SoundMST/Hammer_A.wav,1,1,OLD,,,
,,,SoundMST/Helicopter_A.wav,2,3,NEW,,,
,,,SoundMST/Bubbles_A.wav,2,3,NEW,,,
,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,,,
,,,SoundMST/Growl_G.wav,2,3,NEW,,,
,,,SoundMST/Horse.wav,2,3,NEW,,,
,,,SoundMST/Piano_D.wav,1,1,OLD,,,
,,,SoundMST/Dog_F.wav,2,2,SIMILAR,,,
,,,SoundMST/Fireworks.wav,1,1,OLD,,,
,,,SoundMST/Printer.wav,2,3,NEW,,,
,,,SoundMST/Camera.wav,2,3,NEW,,,
,,,SoundMST/Clap_B.wav,2,3,NEW,,,
,,,SoundMST/PaperRip.wav,2,3,NEW,,,
,,,SoundMST/Coin_E.wav,2,2,SIMILAR,,,
,,,SoundMST/Droplet_B.wav,2,3,NEW,,,
,,,SoundMST/Steam.wav,2,3,NEW,,,
,,,SoundMST/Helicopter_A.wav,1,1,OLD,,,
,,,SoundMST/CarStart_E.wav,2,3,NEW,,,
,,,SoundMST/Howl.wav,1,1,OLD,,,
,,,SoundMST/Growl_H.wav,2,2,SIMILAR,,,
,,,SoundMST/Goat_C.wav,2,2,SIMILAR,,,
,,,SoundMST/Donkey.wav,2,3,NEW,,,
,,,SoundMST/PaperRip.wav,1,1,OLD,,,
,,,SoundMST/Bubbles_B.wav,2,2,SIMILAR,,,
,,,SoundMST/Horse.wav,1,1,OLD,,,
,,,SoundMST/Printer.wav,1,1,OLD,,,
,,,SoundMST/Camera.wav,1,1,OLD,,,
,,,SoundMST/Droplet_B.wav,1,1,OLD,,,
,,,SoundMST/Steam.wav,1,1,OLD,,,
,,,SoundMST/CarStart_A.wav,2,2,SIMILAR,,,
,,,SoundMST/Donkey.wav,1,1,OLD,,,
,,,SoundMST/Clap_C.wav,2,2,SIMILAR,,,
