VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_E.wav,2,SIMILAR,C,,,1,0,0.54448,0,9,9,9,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,3,NEW,C,,,3,1,0.373065,0,10,10,10,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,C,,,3,1,0.898065,0,11,11,11,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,C,,,3,1,0.84901,0,12,12,12,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,NEW,C,,,3,1,0.47302,0,13,13,13,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_D.wav,3,NEW,C,,,3,1,0.302675,0,14,14,14,1,,
,,,,,,,,,,,,,1,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,1,OLD,C,,,1,1,0.550565,0,15,15,15,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,3,NEW,C,,,3,1,0.31094,0,16,16,16,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Bubbles_B.wav,2,SIMILAR,C,,,2,1,0.34077,0,17,17,17,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_G.wav,3,NEW,C,,,3,1,2.480245,0,18,18,18,1,,
