VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Duck_A.wav,3,NEW,,,2,1,0.27206,0,32,32,32,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,NEW,,,2,1,0.239825,0,33,33,33,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,OLD,,,2,0,0.055855,0,34,34,34,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,,,2,1,0.311495,0,35,35,35,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Lures/Guitar_B.wav,3,NEW,,,2,1,0.15246,0,36,36,36,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Cello.wav,3,NEW,,,2,1,0.38739,0,37,37,37,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,1,OLD,,,1,1,0.50392,0,38,38,38,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,NEW,,,2,1,0.502535,0,39,39,39,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Cough_D.wav,2,SIMILAR,,,1,0,0.40331,0,40,40,40,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Bird_D.wav,2,SIMILAR,,,1,0,0.5076,0,41,41,41,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Trumpet_B.wav,3,NEW,,,2,1,0.28489,0,42,42,42,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,1,OLD,,,1,1,0.40123,0,43,43,43,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,NEW,,,2,1,0.60453,0,44,44,44,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,1,OLD,,,1,1,0.28737,0,45,45,45,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,NEW,,,2,1,0.06933,0,46,46,46,1,,
