ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate
,,,,,,,3,1,1.59832,0,36,36,36,1,Initial/Doubled/Growl_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0,1.158275,0,37,37,37,1,Test/Foils/Airhorn.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.9146,0,38,38,38,1,Initial/Doubled/Chicken_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.715305,0,39,39,39,1,Initial/Doubled/Laugh_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.464075,0,40,40,40,1,Test/Foils/Typing.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.60049,0,41,41,41,1,Initial/Doubled/Cough_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.720855,0,42,42,42,1,Initial/Doubled/Clap_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,2.03762,0,43,43,43,1,Initial/Doubled/Writing_A.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.89814,0,44,44,44,1,Initial/Doubled/Chomp_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,3.34798,0,45,45,45,1,Initial/Doubled/CarStart_A.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.885055,0,46,46,46,1,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.98402,0,47,47,47,1,Initial/NoRepeat/Toilet_B.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,11.681565,0,48,48,48,1,Test/Foils/Donkey.wav,3,,001,2021-01-07_16h03.56.324,GuessTheSound,2020.2.10,Win32,60
