VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,C,,,2,1,0.149805,0,16,16,16,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_B.wav,2,2,SIMILAR,C,,,1,0,0.29026,0,17,17,17,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_G.wav,2,3,NEW,C,,,2,1,0.40181,0,18,18,18,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_C.wav,2,3,NEW,C,,,2,1,0.387965,0,19,19,19,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,C,,,2,1,0.337835,0,20,20,20,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,2,3,NEW,C,,,2,1,0.5699,0,21,21,21,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,1,1,OLD,C,,,1,1,0.35147,0,22,22,22,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,C,,,2,0,0.721485,0,23,23,23,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Camera.wav,2,3,NEW,C,,,2,1,0.640945,0,24,24,24,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_H.wav,2,2,SIMILAR,C,,,1,0,0.61658,0,25,25,25,1
