SoundFiles,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,StartTxt.started,StartTxt.stopped,no3.started,no3.stopped,no2.started,no2.stopped,no1.started,no1.stopped,Question.started,Question.stopped,ResponseBox.text,ResponseBox.started,ResponseBox.stopped,SubmitClick.started,SubmitClick.stopped,ClickTheButton.started,ClickTheButton.stopped,SoundItem.started,SoundItem.stopped,ItemNo.started,ItemNo.stopped,Submit.started,Submit.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/NoRepeat/Duck_A.wav,0,34,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.9972723000683,None,183.00544079998508,None,184.0052885999903,None,185.02360330009833,None,"

",185.02360330009833,None,0.0013082800433039665,None,185.02360330009833,None,185.00513618004044,None,185.02360330009833,None,185.02360330009833,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Baby_A.wav,0,35,35,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.9255407000892,None,188.9382937999908,None,189.93842700007372,None,190.95802620006725,None,"

",190.95802620006725,None,0.0015349800232797861,None,190.95802620006725,None,190.93855908007828,None,190.95802620006725,None,190.95802620006725,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Clap_A.wav,0,36,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.3162501999177,None,194.32183060003445,None,195.3215469000861,None,196.3592314000707,None,"

",196.3592314000707,None,0.0029384600929915905,None,196.3592314000707,None,196.33843225999738,None,196.3592314000707,None,196.3592314000707,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Siren_D.wav,0,37,37,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.82344450009987,None,198.8384090999607,None,199.8383319999557,None,200.85727509995922,None,"

",200.85727509995922,None,0.0005867797881364822,None,200.85727509995922,None,200.8385638800217,None,200.85727509995922,None,200.85727509995922,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/Doubled/Guitar_A.wav,0,38,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.86740450002253,None,203.8716045001056,None,204.87171100010164,None,205.91638750000857,None,"

",205.91638750000857,None,0.010863639647141099,None,205.91638750000857,None,205.90506903987844,None,205.91638750000857,None,205.91638750000857,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Bird_B.wav,0,39,39,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.46827489999123,None,208.47152310004458,None,209.47154749999754,None,210.49062930000946,None,"

",210.49062930000946,None,0.003704979782924056,None,210.49062930000946,None,210.47175207997208,None,210.49062930000946,None,210.49062930000946,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Test/Foils/Heartbeat.wav,0,40,40,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.6772974000778,None,213.68834049999714,None,214.68836889998056,None,215.70925979991443,None,"

",215.70925979991443,None,0.015701660187914968,None,215.70925979991443,None,215.70482186009178,None,215.70925979991443,None,215.70925979991443,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
Initial/NoRepeat/Droplet_B.wav,0,41,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0586596999783,None,219.07150939991698,None,220.07139459997416,None,221.09222160000354,None,"

",221.09222160000354,None,0.0013851798139512539,None,221.09222160000354,None,221.07153777994682,None,221.09222160000354,None,221.09222160000354,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
CarStart_D.wav,0,42,42,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.94780350010842,None,224.9549370999448,None,225.9549012000207,None,226.97611779998988,None,"

",226.97611779998988,None,0.015314460266381502,None,226.97611779998988,None,226.9714922599029,None,226.97611779998988,None,226.97611779998988,None,,001,2021_Jan_04_2200,GuessTheSound,2020.2.10,59.97242470652595,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.26241030008532,None,232.27138020005077,None,233.27146720001474,None,,,,,,,,,,,,,,,,,,,,,,
