VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.70753,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,NEW,space,11.68485,3,1,4.17001,0,0,0,0,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,1.93611,0,1,1,1,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,2.93695,0,2,2,2,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,3.256425,0,3,3,3,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,1.866445,0,4,4,4,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,1.811625,0,5,5,5,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.991765,0,6,6,6,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,3,1,1.70758,0,7,7,7,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,3,1,0.95531,0,8,8,8,1,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,2,0,1.665895,0,9,9,9,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,2,0,1.919135,0,10,10,10,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,3,1,0.687765,0,11,11,11,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_B.wav,2,SIMILAR,,,2,1,1.306515,0,12,12,12,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,NEW,,,3,1,0.671,0,13,13,13,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,3,NEW,,,3,1,0.77087,0,14,14,14,1,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,2,0,0.220205,0,15,15,15,1,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,OLD,,,1,1,0.85082,0,16,16,16,1,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,1,OLD,,,3,0,0.189725,0,17,17,17,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,NEW,,,3,1,2.61427,0,18,18,18,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_C.wav,2,SIMILAR,,,2,1,1.86259,0,19,19,19,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,2,1,0.623885,0,20,20,20,1,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,1,OLD,,,2,0,0.957355,0,21,21,21,1,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_A.wav,2,SIMILAR,,,2,1,0.55824,0,22,22,22,1,,
