VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.129,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,NEW,B,space,1.839,3,1,1.014,0,0,0,0,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_E.wav,3,NEW,B,,,3,1,1.452,0,1,1,1,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_G.wav,3,NEW,B,,,3,1,0.542,0,2,2,2,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,B,,,3,1,0.657,0,3,3,3,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,B,,,3,1,0.436,0,4,4,4,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,B,,,2,0,1.026,0,5,5,5,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,B,,,3,1,0.335,0,6,6,6,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,B,,,3,1,0.401,0,7,7,7,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,B,,,3,1,0.322,0,8,8,8,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_D.wav,3,NEW,B,,,3,1,0.373,0,9,9,9,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,2,SIMILAR,B,,,1,0,2.055,0,10,10,10,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,3,NEW,B,,,3,1,0.387,0,11,11,11,1,,
,,,,,,,,,,,,,1,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,1,OLD,B,,,1,1,0.508,0,12,12,12,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,B,,,3,1,0.354,0,13,13,13,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_A.wav,3,NEW,B,,,3,1,0.34,0,14,14,14,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_E.wav,2,SIMILAR,B,,,3,0,0.572,0,15,15,15,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chime_B.wav,3,NEW,B,,,3,1,0.306,0,16,16,16,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,B,,,3,0,0.289,0,17,17,17,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,B,,,3,1,0.304,0,18,18,18,1,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,3,NEW,B,,,3,1,0.106,0,19,19,19,1,,
