VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.786385,0,2,2,2,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.489175,0,3,3,3,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.571335,0,4,4,4,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,0.58329,0,5,5,5,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.775,0,6,6,6,1,,
,,,,,,,,,,,,,1,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,2,0,0.57279,0,7,7,7,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,3,1,0.59114,0,8,8,8,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,3,1,0.485275,0,9,9,9,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,3,1,0.53235,0,10,10,10,1,,
,,,,,,,,,,,,,1,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,1,1,0.3712,0,11,11,11,1,,
