WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
,,,,,0,24,24,64,1,Test/Foils/Brushing.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,25,25,97,1,Test/Foils/Slurp.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,26,26,10,1,Initial/Doubled/Gargle_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,27,27,52,1,Initial/Repeat/Phone_A.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,28,28,89,1,Initial/NoRepeat/Duck_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,29,29,76,1,Test/Foils/Steam.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,30,30,18,1,Initial/Doubled/Surf_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,31,31,54,1,Initial/Repeat/Printer.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,32,32,60,1,Test/Foils/Airhorn.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,33,33,19,1,Initial/Doubled/Turkey_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,34,34,94,1,Initial/Repeat/IceDrop.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,35,35,73,1,Test/Foils/Kettle.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,36,36,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,37,37,42,1,Initial/Repeat/Bagpipe.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,38,38,80,1,Test/Foils/Camera.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,39,39,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,40,40,71,1,Test/Foils/Heartbeat.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,41,41,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,42,42,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,43,43,84,1,Initial/Doubled/Clock_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,44,44,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,45,45,44,1,Initial/Repeat/Cicade.wav,Repeat,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,46,46,67,1,Test/Foils/Curtain.wav,New,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
,,,,,0,47,47,81,1,Initial/Doubled/CarStart_A.wav,Extra,,001,2020-12-23_11h14.11.584,GuessTheSound,2020.2.10,Win32,60
