VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Siren_A.wav,2,2,SIMILAR,B,,,2,1,0.925195,0,10,10,10,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,B,,,2,1,0.596075,0,11,11,11,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,1,1,OLD,B,,,1,1,0.3335,0,12,12,12,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,B,,,2,1,0.324045,0,13,13,13,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_D.wav,2,3,NEW,B,,,2,1,0.50044,0,14,14,14,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_E.wav,2,2,SIMILAR,B,,,1,0,0.17955,0,15,15,15,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,B,,,2,1,0.76677,0,16,16,16,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,B,,,2,1,0.42437,0,17,17,17,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,B,,,2,1,0.445325,0,18,18,18,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,B,,,2,1,0.698755,0,19,19,19,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,1,1,OLD,B,,,2,0,1.93603,0,20,20,20,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,1,1,OLD,B,,,1,1,1.14509,0,21,21,21,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,2,3,NEW,B,,,2,1,0.812605,0,22,22,22,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,B,,,1,1,0.57758,0,23,23,23,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_B.wav,2,3,NEW,B,,,2,1,0.508335,0,24,24,24,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,B,,,1,0,0.47877,0,25,25,25,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_H.wav,2,3,NEW,B,,,2,1,0.45439,0,26,26,26,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,1,1,OLD,B,,,1,1,0.35017,0,27,27,27,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,B,,,2,1,0.37968,0,28,28,28,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,1,1,OLD,B,,,1,1,0.34084,0,29,29,29,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Snore_C.wav,2,3,NEW,B,,,2,1,0.736625,0,30,30,30,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_C.wav,2,2,SIMILAR,B,,,1,0,0.4073,0,31,31,31,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_A.wav,2,2,SIMILAR,B,,,1,0,1.01693,0,32,32,32,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_F.wav,2,2,SIMILAR,B,,,1,0,0.871915,0,33,33,33,1,,
