SoundFile5,Correct,Correct2,Type,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/NoRepeat/Faucet_A.wav,1,1,OLD,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.44601590000093,None,202.94528232001466,None,202.9539197999984,None,202.9539197999984,None,205.26287460001186,None,1,1,0.3852825000649318,205.26287460001186,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/NoRepeat/Toilet_B.wav,1,1,OLD,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.67951069993433,None,207.19529193998312,None,207.1920788999414,None,207.1920788999414,None,209.49601879995316,None,1,1,0.32803469989448786,209.49601879995316,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Doubled/Laugh_A.wav,2,2,SIMILAR,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.84491250000428,None,211.37841355995042,None,211.38519479997922,None,211.38519479997922,None,213.69593429996166,None,2,1,0.5999811999499798,213.69593429996166,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Doubled/Bubbles_A.wav,1,1,OLD,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.31164720002562,None,215.81184031999436,None,215.81485890003387,None,215.81485890003387,None,218.1127505999757,None,3,0,0.7868697000667453,218.1127505999757,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Doubled/Chicken_A.wav,2,3,NEW,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.92843700002413,None,220.44492283996658,None,220.45269569999073,None,220.45269569999073,None,222.12918759998865,None,3,1,0.5423188999993727,222.12918759998865,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Pour_D.wav,2,2,SIMILAR,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6956380000338,None,224.2117431399878,None,224.21100599993952,None,224.21100599993952,None,226.51264560001437,None,2,1,1.5684728999622166,226.51264560001437,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Test/Lures/Guitar_B.wav,1,1,OLD,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.09883969998918,None,229.61170132003025,None,229.62035580002703,None,229.62035580002703,None,231.92914310004562,None,1,1,0.3796285999706015,231.92914310004562,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/NoRepeat/Sleighbells_B.wav,1,1,OLD,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.32806279999204,None,233.82828012002864,None,233.83285999996588,None,233.83285999996588,None,236.14592409995385,None,3,0,0.22971009998582304,236.14592409995385,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
Initial/Repeat/Airplane_B.wav,2,3,NEW,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.39549230004195,None,237.91152684004044,None,237.91502880002372,None,237.91502880002372,None,240.22892060002778,None,1,0,0.42825490003451705,240.22892060002778,None,,001,2021_Feb_17_1645,GuessTheSound,2020.2.10,59.94607250730313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.67980459996033,None,242.22792216002708,None,242.21859389997553,None,242.21859389997553,None,,,,,,,,,,,,,,
