VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,B,,,3,1,0.285435,0,22,22,22,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,B,,,1,1,0.61655,0,23,23,23,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_A.wav,3,NEW,B,,,3,1,0.42784,0,24,24,24,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chick_A.wav,2,SIMILAR,B,,,2,1,1.084015,0,25,25,25,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_E.wav,3,NEW,B,,,3,1,0.538295,0,26,26,26,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,1,OLD,B,,,1,1,0.335125,0,27,27,27,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,B,,,1,0,0.367635,0,28,28,28,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,1,OLD,B,,,3,0,0.1937,0,29,29,29,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Snore_D.wav,3,NEW,B,,,2,0,0.550535,0,30,30,30,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_C.wav,2,SIMILAR,B,,,2,1,0.758915,0,31,31,31,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chime_A.wav,2,SIMILAR,B,,,2,1,0.32597,0,32,32,32,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_E.wav,2,SIMILAR,B,,,3,0,0.459325,0,33,33,33,1
