SoundFile5,Correct,Correct2,Type,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/Repeat/Buzz.wav,1,1,OLD,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.6394557999447,None,139.13860016997205,None,139.14854810002726,None,139.14854810002726,None,141.4556418999564,None,1,1,0.5289074999745935,141.4556418999564,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Baby_A.wav,2,2,SIMILAR,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.00589290005155,None,143.5217065400211,None,143.52496199996676,None,143.52496199996676,None,145.82217419997323,None,2,1,1.5963552000466734,145.82217419997323,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Doubled/Writing_A.wav,1,1,OLD,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.43838389997836,None,148.95507894002367,None,148.94836040004157,None,148.94836040004157,None,151.25539219996426,None,1,1,0.5543155999621376,151.25539219996426,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Doubled/Cough_A.wav,2,3,NEW,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.83832810004242,None,153.3883990800241,None,153.38690569996834,None,153.38690569996834,None,155.0885719000362,None,2,1,0.7693481999449432,155.0885719000362,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Test/Foils/DialTone.wav,1,1,OLD,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.89039199997205,None,157.40487647004193,None,157.41418309998699,None,157.41418309998699,None,159.7220281000482,None,1,1,1.207655500038527,159.7220281000482,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Test/Lures/Guitar_B.wav,2,3,NEW,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.956312000053,None,162.50520160997985,None,162.5063136999961,None,162.5063136999961,None,164.80534399999306,None,2,1,0.2975846999324858,164.80534399999306,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Chime_C.wav,2,2,SIMILAR,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1231932999799,None,166.6718036099919,None,166.6686257000547,None,166.6686257000547,None,168.97193480003625,None,2,1,0.668151400052011,168.97193480003625,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Initial/Repeat/IceDrop.wav,2,3,NEW,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.67115740000736,None,171.22163747996092,None,171.21787880000193,None,171.21787880000193,None,173.52182270004414,None,2,1,0.6469687999924645,173.52182270004414,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Test/Foils/Typing.wav,1,1,OLD,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.18923520005774,None,175.68827606999548,None,175.69779889995698,None,175.69779889995698,None,178.00515790004283,None,1,1,0.687783099943772,178.00515790004283,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
Bird_C.wav,2,3,NEW,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.72123450005893,None,180.22162547003245,None,180.23103599995375,None,180.23103599995375,None,181.97120050003286,None,2,1,0.3253956000553444,181.97120050003286,None,,001,2021_Feb_17_1606,GuessTheSound,2020.2.10,59.95121169534463,
