VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,2,3,NEW,B,,,1,0,0.24767,0,22,22,22,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,B,,,1,1,0.259535,0,23,23,23,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_B.wav,2,3,NEW,B,,,1,0,0.30498,0,24,24,24,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,B,,,1,0,0.25836,0,25,25,25,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_H.wav,2,3,NEW,B,,,2,1,0.305005,0,26,26,26,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,1,1,OLD,B,,,1,1,0.27038,0,27,27,27,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,B,,,2,1,0.251715,0,28,28,28,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,1,1,OLD,B,,,1,1,0.11732,0,29,29,29,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Snore_C.wav,2,3,NEW,B,,,2,1,0.29928,0,30,30,30,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_C.wav,2,2,SIMILAR,B,,,1,0,0.6053,0,31,31,31,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_A.wav,2,2,SIMILAR,B,,,1,0,0.603825,0,32,32,32,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_E.wav,2,2,SIMILAR,B,,,1,0,3.637485,0,33,33,33,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,2,3,NEW,B,,,2,1,0.620375,0,34,34,34,1,,
