VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.367235,0,29,29,29,1,,
,,,,,,,,,,,,,,Piano_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.433835,0,30,30,30,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.067595,0,31,31,31,1,,
,,,,,,,,,,,,,,Pour_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.33273,0,32,32,32,1,,
,,,,,,,,,,,,,,Bird_D.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.650435,0,33,33,33,1,,
,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.55767,0,34,34,34,1,,
,,,,,,,,,,,,,,Test/Foils/Buzz.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.39458,0,35,35,35,1,,
,,,,,,,,,,,,,,Test/Foils/Donkey.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.017705,0,36,36,36,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.350285,0,37,37,37,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,1,1.135655,0,38,38,38,1,,
,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,1,0.76825,0,39,39,39,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.03426,0,40,40,40,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.318095,0,41,41,41,1,,
,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.25145,0,42,42,42,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.0352,0,43,43,43,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.31823,0,44,44,44,1,,
