VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,1,1,0.392595,0,46,46,46,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,,,3,1,3.94851,0,47,47,47,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,,,3,1,1.59167,0,48,48,48,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,,,3,1,1.21194,0,49,49,49,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,,,3,1,1.001365,0,50,50,50,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,,,3,1,0.95522,0,51,51,51,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,1,1,0.63756,0,52,52,52,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,,,2,1,0.707155,0,53,53,53,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_D.wav,,,2,1,2.21671,0,54,54,54,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,,,1,1,0.951235,0,55,55,55,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,,,3,1,1.318355,0,56,56,56,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,,,1,1,0.513555,0,57,57,57,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_D.wav,,,2,1,1.91136,0,58,58,58,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chomp_B.wav,,,2,1,0.982985,0,59,59,59,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,,,1,1,0.86545,0,60,60,60,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,,,3,1,0.984565,0,61,61,61,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_C.wav,,,2,1,0.851215,0,62,62,62,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_D.wav,,,2,1,0.83468,0,63,63,63,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,,,1,1,0.53413,0,64,64,64,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_C.wav,,,2,1,1.235155,0,65,65,65,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,,,3,1,1.203195,0,66,66,66,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,,,1,1,0.72524,0,67,67,67,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_B.wav,,,1,0,0.64511,0,68,68,68,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chomp_C.wav,,,2,1,0.75675,0,69,69,69,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,,,3,1,1.06896,0,70,70,70,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,,,1,1,0.46777,0,71,71,71,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Droplet_B.wav,,,3,1,0.98458,0,72,72,72,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Guitar_A.wav,,,3,1,0.86936,0,73,73,73,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,,,1,1,0.595405,0,74,74,74,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_D.wav,,,2,1,1.15674,0,75,75,75,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,,,1,1,0.678075,0,76,76,76,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,,,1,1,0.6676,0,77,77,77,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,,,1,1,0.90083,0,78,78,78,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,,,1,1,0.63835,0,79,79,79,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Goat_B.wav,,,3,1,0.70842,0,80,80,80,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Coin_B.wav,,,2,1,3.169295,0,81,81,81,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,,,3,1,0.950355,0,82,82,82,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,,,3,1,1.074085,0,83,83,83,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,,,3,1,1.59128,0,84,84,84,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Phone_A.wav,,,3,1,0.68433,0,85,85,85,1,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,,,1,1,0.80986,0,86,86,86,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Growl_A.wav,,,3,1,0.619175,0,87,87,87,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,,,3,1,1.03388,0,88,88,88,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_A.wav,,,2,1,2.00084,0,89,89,89,1,,
,,,,,,,,,,,,,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Coin_C.wav,,,3,0,4.24059,0,90,90,90,1,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Whistle_A.wav,,,3,1,1.251715,0,91,91,91,1,,
