VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.8699,0,15,15,15,1
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.45446,0,16,16,16,1
,,,,,,,,,,,,,,Baby_A.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,1,0,0.16063,0,17,17,17,1
,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.625315,0,18,18,18,1
,,,,,,,,,,,,,,Siren_B.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.634635,0,19,19,19,1
,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.669255,0,20,20,20,1
,,,,,,,,,,,,,,Bird_C.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.4559,0,21,21,21,1
,,,,,,,,,,,,,,Pour_D.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.174725,0,22,22,22,1
,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.838075,0,23,23,23,1
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.227825,0,24,24,24,1
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.090975,0,25,25,25,1
,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.210975,0,26,26,26,1
,,,,,,,,,,,,,,Baby_C.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.28349,0,27,27,27,1
,,,,,,,,,,,,,,Siren_C.wav,2,5f1e4479d059f97ef7514024,001,2021-01-17_23h46.56.383,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.01973,0,28,28,28,1
