VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Crow_B.wav,2,3,NEW,C,,,1,0,0.24334,0,59,59,59,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Trumpet_B.wav,2,3,NEW,C,,,2,1,0.063145,0,60,60,60,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bullfrog.wav,1,1,OLD,C,,,2,0,0.21564,0,61,61,61,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Helicopter_A.wav,1,1,OLD,C,,,1,1,0.2163,0,62,62,62,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_C.wav,2,3,NEW,C,,,2,1,0.26266,0,63,63,63,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sneeze_B.wav,1,1,OLD,C,,,1,1,0.213065,0,64,64,64,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,C,,,2,1,0.34768,0,65,65,65,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_D.wav,2,3,NEW,C,,,2,1,0.127095,0,66,66,66,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,1,1,OLD,C,,,1,1,0.206525,0,67,67,67,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Puff_A.wav,2,3,NEW,C,,,2,1,0.262495,0,68,68,68,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_F.wav,2,2,SIMILAR,C,,,1,0,0.2371,0,69,69,69,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Donkey.wav,1,1,OLD,C,,,1,1,0.04721,0,70,70,70,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,C,,,2,1,0.1474,0,71,71,71,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Writing_A.wav,2,3,NEW,C,,,1,0,0.197625,0,72,72,72,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cello.wav,2,3,NEW,C,,,2,1,0.22938,0,73,73,73,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Crow_A.wav,2,2,SIMILAR,C,,,1,0,0.25542,0,74,74,74,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Hammer_A.wav,1,1,OLD,C,,,1,1,1.521145,0,75,75,75,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cuckoo_A.wav,2,3,NEW,C,,,2,1,0.21571,0,76,76,76,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,1,1,OLD,C,,,1,1,0.708715,0,77,77,77,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Siren_E.wav,2,3,NEW,C,,,2,1,0.063975,0,78,78,78,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Trumpet_B.wav,1,1,OLD,C,,,1,1,0.153345,0,79,79,79,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,2,3,NEW,C,,,2,1,0.11965,0,80,80,80,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cat_A.wav,2,3,NEW,C,,,2,1,0.031685,0,81,81,81,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_E.wav,2,2,SIMILAR,C,,,1,0,0.117015,0,82,82,82,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chomp_A.wav,2,3,NEW,C,,,2,1,0.18277,0,83,83,83,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_A.wav,2,2,SIMILAR,C,,,1,0,1.632555,0,84,84,84,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,2,3,NEW,C,,,2,1,2.67419,0,85,85,85,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_A.wav,2,2,SIMILAR,C,,,2,1,0.932395,0,86,86,86,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Droplet_B.wav,2,3,NEW,C,,,2,1,0.551015,0,87,87,87,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_C.wav,2,2,SIMILAR,C,,,1,0,0.04016,0,88,88,88,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Puff_A.wav,1,1,OLD,C,,,1,1,1.72083,0,89,89,89,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Clap_B.wav,2,3,NEW,C,,,1,0,0.015125,0,90,90,90,1
