VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,1,OLD,C,,,1,1,0.38331,0,33,33,33,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Pour_E.wav,3,NEW,C,,,3,1,0.34945,0,34,34,34,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,OLD,C,,,1,1,0.317545,0,35,35,35,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,C,,,1,0,0.10089,0,36,36,36,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,C,,,2,0,0.586405,0,37,37,37,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,3,NEW,C,,,3,1,0.30121,0,38,38,38,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,1,OLD,C,,,3,0,0.602995,0,39,39,39,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,NEW,C,,,3,1,0.000895,0,40,40,40,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Goat_E.wav,2,SIMILAR,C,,,1,0,0.46887,0,41,41,41,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,C,,,3,1,0.427815,0,42,42,42,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Duck_D.wav,2,SIMILAR,C,,,1,0,1.1834,0,43,43,43,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,1,OLD,C,,,1,1,0.31746,0,44,44,44,1,,
