VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,3.856,0,45,45,45,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.575,0,46,46,46,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.406,0,47,47,47,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.677,0,48,48,48,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.523,0,49,49,49,1
,,,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.44,0,50,50,50,1
,,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.543,0,51,51,51,1
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.675,0,52,52,52,1
,,,,,,,,,,,,,,,,Laugh_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.911,0,53,53,53,1
,,,,,,,,,,,,,,,,Cough_D.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.724,0,54,54,54,1
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.257,0,55,55,55,1
,,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.572,0,56,56,56,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.397,0,57,57,57,1
,,,,,,,,,,,,,,,,CarStart_D.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.957,0,58,58,58,1
,,,,,,,,,,,,,,,,Chomp_B.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.958,0,59,59,59,1
,,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.455,0,60,60,60,1
,,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.422,0,61,61,61,1
,,,,,,,,,,,,,,,,Dog_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.54,0,62,62,62,1
,,,,,,,,,,,,,,,,Laugh_D.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,1,7.133,0,63,63,63,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.706,0,64,64,64,1
,,,,,,,,,,,,,,,,Cough_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,5.945,0,65,65,65,1
,,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.157,0,66,66,66,1
,,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.591,0,67,67,67,1
,,,,,,,,,,,,,,,,CarStart_B.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,5.984,0,68,68,68,1
,,,,,,,,,,,,,,,,Chomp_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,3.199,0,69,69,69,1
,,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,9.376,0,70,70,70,1
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.212,0,71,71,71,1
