VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Mosquito_B.wav,1,1,OLD,A,,,1,1,0.826625,0,23,23,23,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Cough_C.wav,2,3,NEW,A,,,2,1,0.29098,0,24,24,24,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/DialTone.wav,1,1,OLD,A,,,1,1,0.433065,0,25,25,25,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Puff_A.wav,2,3,NEW,A,,,2,1,0.588405,0,26,26,26,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,2,3,NEW,A,,,2,1,0.336535,0,27,27,27,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,A,,,2,1,0.353555,0,28,28,28,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Bird_C.wav,2,3,NEW,A,,,2,1,0.447785,0,29,29,29,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Baby_E.wav,2,2,SIMILAR,A,,,1,0,0.35664,0,30,30,30,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Faucet_C.wav,2,2,SIMILAR,A,,,1,0,0.320545,0,31,31,31,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Duck_A.wav,2,3,NEW,A,,,2,1,0.31804,0,32,32,32,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,A,,,2,1,0.32116,0,33,33,33,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,1,1,OLD,A,,,1,1,0.526475,0,34,34,34,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,A,,,2,1,0.275315,0,35,35,35,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Guitar_B.wav,2,3,NEW,A,,,2,1,0.28978,0,36,36,36,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Cello.wav,2,3,NEW,A,,,2,1,0.308475,0,37,37,37,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,1,1,OLD,A,,,1,1,0.405725,0,38,38,38,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Airplane_B.wav,2,3,NEW,A,,,2,1,0.035145,0,39,39,39,1
