VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,4.02962,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,space,7.03906,3,1,2.96659,0,0,0,0,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.496295,0,1,1,1,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.52124,0,2,2,2,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.60425,0,3,3,3,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.37478,0,4,4,4,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,2,0,2.12974,0,5,5,5,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,0.270005,0,6,6,6,1
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,1.489095,0,7,7,7,1
,,,,,,,,,,,,,1,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,1,OLD,,,1,1,1.04956,0,8,8,8,1
