VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_E.wav,3,NEW,B,,,3,1,0.842,0,2,2,2,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,B,,,3,1,0.684,0,3,3,3,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,B,,,3,1,0.682,0,4,4,4,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,B,,,3,1,0.751,0,5,5,5,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,B,,,3,1,0.405,0,6,6,6,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,B,,,3,1,0.668,0,7,7,7,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,B,,,3,1,0.35,0,8,8,8,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_A.wav,3,NEW,B,,,3,1,0.404,0,9,9,9,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,2,SIMILAR,B,,,2,1,2.384,0,10,10,10,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,NEW,B,,,3,1,0.553,0,11,11,11,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,1,OLD,B,,,1,1,0.85,0,12,12,12,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,B,,,3,1,0.468,0,13,13,13,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_A.wav,3,NEW,B,,,3,1,0.556,0,14,14,14,1,,
