VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.478,0,40,40,40,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.623,0,41,41,41,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.455,0,42,42,42,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.294,0,43,43,43,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Chomp_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,7.07,0,44,44,44,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/CarStart_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,4.204,0,45,45,45,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.305,0,46,46,46,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.014,0,47,47,47,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.089,0,48,48,48,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.012,0,49,49,49,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Dog_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.36,0,50,50,50,1,,
,,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.389,0,51,51,51,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.237,0,52,52,52,1,,
,,,,,,,,,,,,,,,,Laugh_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.422,0,53,53,53,1,,
,,,,,,,,,,,,,,,,Cough_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,1,8.707,0,54,54,54,1,,
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.494,0,55,55,55,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,4.121,0,56,56,56,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,5.609,0,57,57,57,1,,
,,,,,,,,,,,,,,,,CarStart_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.724,0,58,58,58,1,,
,,,,,,,,,,,,,,,,Chomp_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,18.761,0,59,59,59,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Clap_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,3.853,0,60,60,60,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,3.049,0,61,61,61,1,,
,,,,,,,,,,,,,,,,Dog_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,3.284,0,62,62,62,1,,
,,,,,,,,,,,,,,,,Laugh_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.809,0,63,63,63,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.213,0,64,64,64,1,,
,,,,,,,,,,,,,,,,Cough_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.357,0,65,65,65,1,,
,,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.324,0,66,66,66,1,,
