File,Correct,SoundFile,Correct2,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,Whistle_C.wav,2,SIMILAR,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.76003360003233,None,405.3092847400112,None,405.3065178000834,None,405.3065178000834,None,408.04355280008167,None,3,0,0.44702660001348704,408.04355280008167,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Repeat/Sneeze_B.wav,1,OLD,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.51039760001004,None,410.02581851003924,None,410.03690900001675,None,410.03690900001675,None,411.2602231000783,None,1,1,0.4275181000120938,411.2602231000783,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Doubled/Cat_A.wav,1,OLD,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.7107245000079,None,413.22609001008095,None,413.23472060007043,None,413.23472060007043,None,414.6601436000783,None,3,0,0.38291260006371886,414.6601436000783,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Phone_D.wav,3,NEW,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.05919100006577,None,416.6091154400492,None,416.60506319999695,None,416.60506319999695,None,419.14319169998635,None,3,1,0.37383960001170635,419.14319169998635,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Initial/Repeat/Bagpipe.wav,3,NEW,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.54381310008466,None,421.10933673998807,None,421.11511940008495,None,421.11511940008495,None,423.4932162000332,None,3,1,0.5864916000282392,423.4932162000332,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Chomp_C.wav,2,SIMILAR,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.1105582000455,None,425.67592774005607,None,425.68074400001206,None,425.68074400001206,None,428.45976790005807,None,2,1,1.0614695000695065,428.45976790005807,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Test/Foils/Slurp.wav,1,OLD,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.5446696000872,None,431.0756706200773,None,431.07058070006315,None,431.07058070006315,None,433.443175500026,None,1,1,0.9645419999724254,433.443175500026,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Test/Foils/Bowlingpins.wav,3,NEW,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.42703910009004,None,435.99232883995865,None,435.99219230003655,None,435.99219230003655,None,438.42658530001063,None,3,1,0.33727979997638613,438.42658530001063,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,1,Initial/Repeat/ManWhistle.wav,1,OLD,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.7922874999931,None,440.3092011200497,None,440.30439220007975,None,440.30439220007975,None,442.5262920000823,None,3,0,0.3191253999248147,442.5262920000823,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
,2,Initial/NoRepeat/Cow.wav,3,NEW,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.8754721999867,None,444.4255198399769,None,444.4300161000574,None,444.4300161000574,None,446.25972960004583,None,3,1,0.3822191000217572,446.25972960004583,None,,,,,,,,,,,,,,001,2021_Feb_21_0944,GuessTheSound,2020.2.10,60.068249547349424,
