File,Correct,SoundFile,Correct2,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,Growl_E.wav,3,NEW,,,,,,,,,0,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.8084895999637,None,518.3406165800056,None,518.3461559000425,None,518.3461559000425,None,520.9414770000149,None,3,1,0.46908369997981936,520.9414770000149,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Test/Foils/Horse.wav,3,NEW,,,,,,,,,0,101,101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.4416850999696,None,522.9907072599045,None,522.9933665000135,None,522.9933665000135,None,525.1914945000317,None,3,1,0.309990799985826,525.1914945000317,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,1,Piano_D.wav,1,OLD,,,,,,,,,0,102,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.5248257999774,None,527.0573522799182,None,527.062145999982,None,527.062145999982,None,529.9249506000197,None,1,1,0.5711349999764934,529.9249506000197,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Dog_F.wav,2,SIMILAR,,,,,,,,,0,103,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.5237820999464,None,532.0404065799898,None,532.0461505999556,None,532.0461505999556,None,533.724756999989,None,2,1,0.9751534999813884,533.724756999989,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,1,Initial/NoRepeat/Fireworks.wav,1,OLD,,,,,,,,,0,104,104,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.7259412000421,None,536.2572531799319,None,536.252497700043,None,536.252497700043,None,539.1249679999892,None,1,1,0.5144465999910608,539.1249679999892,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/Repeat/Printer.wav,3,NEW,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.6595222000033,None,541.1903851799666,None,541.1974956999766,None,541.1974956999766,None,543.9580841000425,None,3,1,0.36309509992133826,543.9580841000425,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Test/Foils/Camera.wav,3,NEW,,,,,,,,,0,106,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.3428453999804,None,545.8902832199586,None,545.8985643000342,None,545.8985643000342,None,546.8746932999929,None,3,1,0.5432609999552369,546.8746932999929,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Clap_B.wav,3,NEW,,,,,,,,,0,107,107,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.4402422000421,None,548.9571298799942,None,548.965458599967,None,548.965458599967,None,551.6244403000455,None,3,1,0.45909289992414415,551.6244403000455,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/Repeat/PaperRip.wav,3,NEW,,,,,,,,,0,108,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.1091197000351,None,553.6407209800323,None,553.6437556999736,None,553.6437556999736,None,555.2409330999944,None,3,1,0.3631677000084892,555.2409330999944,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Coin_B.wav,2,SIMILAR,,,,,,,,,0,109,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.623700199998,None,557.1405581799568,None,557.1423238000134,None,557.1423238000134,None,558.5079873999348,None,2,1,0.9749039999442175,558.5079873999348,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
,2,Initial/NoRepeat/Droplet_B.wav,3,NEW,,,,,,,,,0,110,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.5086559000192,None,561.0404782799537,None,561.049905300024,None,561.049905300024,None,563.2081728000194,None,3,1,0.7981758000096306,563.2081728000194,None,,001,2021_Feb_22_1132,GuessTheSound,2020.2.10,60.00708083356939,
