ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
,,,,,,dog barking,2,1,1.115255,0,62,62,62,1,Dog_C.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,laughter,2,1,1.629905,0,63,63,63,1,Laugh_D.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,helicopter,1,1,0.7162,0,64,64,64,1,Initial/NoRepeat/Helicopter_A.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,coughing,1,0,0.578865,0,65,65,65,1,Cough_C.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,beating heart,3,1,0.431115,0,66,66,66,1,Test/Foils/Heartbeat.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,wind wheezing,1,1,0.49452,0,67,67,67,1,Test/Foils/Wind_B.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,engine starting,1,0,0.18092,0,68,68,68,1,CarStart_B.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,crunching,1,0,0.82909,0,69,69,69,1,Chomp_C.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,footsteps,3,1,0.427455,0,70,70,70,1,Initial/NoRepeat/Footsteps_B.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,phone buzzing,1,1,0.960945,0,71,71,71,1,Test/Foils/Buzz.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,dripping ,3,1,1.19508,0,72,72,72,1,Initial/NoRepeat/Droplet_B.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,guitar chords,3,1,0.330755,0,73,73,73,1,Initial/Doubled/Guitar_A.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,flushing,1,1,1.1447,0,74,74,74,1,Initial/NoRepeat/Toilet_B.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,dog barking,2,1,0.295955,0,75,75,75,1,Dog_D.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,clapping,1,1,0.180695,0,76,76,76,1,Initial/Doubled/Clap_A.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,croak,3,1,1.72737,0,77,77,77,1,Test/Foils/Bullfrog.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,wind wheezing,2,0,0.93079,0,78,78,78,1,Test/Foils/Wind_B.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,helicopter,1,1,0.280175,0,79,79,79,1,Initial/NoRepeat/Helicopter_A.wav,1,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,,,,,,,,,,,,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,space,14.66101
