SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Initial/Repeat/Phone_A.wav,3,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.31598869996378,None,102.31620189995738,103.31598869996378,101.3333465999458,102.33286969998153,104.34928357998724,None,104.36088249995373,None,104.36088249995373,None,105.48374179995153,None,3,1,0.5451504000229761,105.48374179995153,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Test/Foils/PaperRip.wav,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.03281409997726,None,107.03269819996785,108.03281409997726,106.05319449998206,107.06602439994458,109.03270765999915,None,109.04341639997438,None,109.04341639997438,None,110.13378199998988,None,1,1,0.8432488999678753,110.13378199998988,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/Doubled/Growl_A.wav,3,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.98275749996537,None,111.98276529996656,112.98275749996537,111.00027389999013,111.999279199983,114.01613267996,None,114.007062699995,115.11603619996458,114.007062699995,115.11603619996458,115.13356689998182,None,3,1,0.9457263000076637,115.13356689998182,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/Repeat/IceDrop.wav,3,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.08279169996968,None,117.0828355999547,118.08279169996968,116.10137579997536,117.11602409998886,119.13266063996126,None,119.13001529994654,120.24901299999328,119.13001529994654,120.24901299999328,120.26663399999961,None,3,1,0.7955212999950163,120.26663399999961,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Goat_A.wav,2,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.066123699944,None,122.06594589998713,123.066123699944,121.08390879997751,122.09917589998804,124.08245781996521,None,124.08754679997219,125.1990942999837,124.08754679997219,125.1990942999837,125.21660319995135,None,3,0,1.8605006000143476,125.21660319995135,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Coin_C.wav,2,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.08268339995993,None,128.08281579997856,129.08268339995993,127.09949299995787,128.09901679999894,130.09948241997046,None,130.10722379997605,131.21615299995756,130.10722379997605,131.21615299995756,131.23339869995834,None,1,0,2.177743599982932,131.23339869995834,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/Repeat/Whistle_A.wav,3,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.41602839995176,None,134.41566229995806,135.41602839995176,133.432463599951,134.43224769999506,136.44898087998737,None,136.45733659999678,None,136.45733659999678,None,137.44988149998244,None,3,1,1.0067720000515692,137.44988149998244,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Puff_A.wav,3,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.46559909998905,None,139.4661127999425,140.46559909998905,138.48241379996762,139.48233629995957,141.49893687998994,None,141.50101219996577,None,141.50101219996577,None,142.61680939997314,None,3,1,0.8184721999568865,142.61680939997314,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Test/Foils/Bullfrog.wav,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.4489514999441,None,144.44884389999788,145.4489514999441,143.45126789994538,144.46601609996287,146.44884095999296,None,146.46102919999976,None,146.46102919999976,None,147.5832032999606,None,1,1,0.7210789999808185,147.5832032999606,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Phone_C.wav,2,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.31601629999932,None,149.31550339999376,150.31601629999932,148.3335297999438,149.34890319994884,151.3489473799884,None,151.34807369997725,None,151.34807369997725,None,152.46660429995973,None,2,1,1.7050411999807693,152.46660429995973,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Growl_B.wav,2,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.18206169997575,None,155.18224209995242,156.18206169997575,154.19894869998097,155.19876149995252,157.18264565995779,None,157.19235049997224,None,157.19235049997224,None,158.316573899996,None,2,1,1.3710807000170462,158.316573899996,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Thunder_A.wav,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.71554289996857,None,160.71542569994926,161.71554289996857,159.71692539996002,160.7323628999875,162.71549035999342,None,162.7248173999833,None,162.7248173999833,None,163.84956479998073,None,3,0,0.782876799989026,163.84956479998073,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/Repeat/IceDrop.wav,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.6322357999743,None,165.63199549994897,166.6322357999743,164.65550579997944,165.66560719994595,167.6492726199911,None,167.64294130000053,None,167.64294130000053,None,168.76653529994655,None,1,1,1.1756932000280358,168.76653529994655,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Goat_C.wav,2,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.96572449995438,None,170.96532719995594,171.96572449995438,169.9660656999913,170.96532719995594,172.96548565995764,None,172.97542679996695,None,172.97542679996695,None,174.09969049994834,None,2,1,2.0967651000246406,174.09969049994834,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Faucet_A.wav,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.19857799995225,None,177.1987224999466,178.19857799995225,176.2159313999582,177.21547259995714,179.215468519961,None,179.2109441999928,180.33196279994445,179.2109441999928,180.33196279994445,180.3496610999573,None,1,1,1.239246299955994,180.3496610999573,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Whistle_B.wav,2,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.5985436999472,None,182.59873909997987,183.5985436999472,181.61513259995263,182.61559209995903,184.615363719943,None,184.62383629998658,185.73197619995335,184.62383629998658,185.73197619995335,185.74957769998582,None,2,1,1.3977829000214115,185.74957769998582,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
Initial/NoRepeat/Footsteps_B.wav,3,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.14843169995584,None,188.14862189994892,189.14843169995584,187.1701096999459,188.1819929999765,190.19869583998806,None,190.1949885999784,None,190.1949885999784,None,191.31735049997224,None,3,1,1.3440380999818444,191.31735049997224,None,,,,,,,,,,,,,,001,2021_Jan_18_1246,GuessTheSound,2020.2.10,59.98166959486804,
