VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.61114,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,NEW,space,13.139225,2,1,3.544235,0,0,0,0,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,2,1,1.18486,0,1,1,1,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,2,1,0.17385,0,2,2,2,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,2,1,0.188005,0,3,3,3,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,2,1,0.24454,0,4,4,4,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,2,1,0.111745,0,5,5,5,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,2,1,1.605155,0,6,6,6,1,,
,,,,,,,,,,,,,1,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,2,0,2.472355,0,7,7,7,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,2,1,1.14614,0,8,8,8,1,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,2,1,0.388515,0,9,9,9,1,,
