VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,,,3,1,0.32019,0,23,23,23,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,,,2,0,2.367455,0,24,24,24,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,,,2,0,0.46923,0,25,25,25,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,,,3,1,0.43441,0,26,26,26,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Baby_C.wav,,,3,0,0.408825,0,27,27,27,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Siren_C.wav,,,2,1,1.9425,0,28,28,28,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,,,1,1,0.3339,0,29,29,29,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Piano_C.wav,,,2,1,1.48226,0,30,30,30,1,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,,,1,1,0.41803,0,31,31,31,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Pour_C.wav,,,2,1,0.753435,0,32,32,32,1,,
,,,,,,,,,,,,,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Bird_D.wav,,,2,1,0.366505,0,33,33,33,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,,,3,1,0.34921,0,34,34,34,1,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,,,3,1,0.319505,0,35,35,35,1,,
