VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,OLD,,,1,1,0.368,0,48,48,48,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,ManWhistle_C.wav,SIMILAR,,,2,1,1.19,0,49,49,49,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,OLD,,,1,1,0.534,0,50,50,50,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,OLD,,,1,1,0.602,0,51,51,51,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,OLD,,,1,1,0.233,0,52,52,52,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,OLD,,,1,1,0.367,0,53,53,53,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_C.wav,SIMILAR,,,1,0,0.501,0,54,54,54,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,NEW,,,2,1,0.367,0,55,55,55,1,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,OLD,,,1,1,0.434,0,56,56,56,1,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,NEW,,,2,1,0.116,0,57,57,57,1,,
