VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,3,NEW,,,3,1,0.302555,0,17,17,17,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,1,OLD,,,1,1,0.38984,0,18,18,18,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_C.wav,2,SIMILAR,,,1,0,0.18344,0,19,19,19,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,2,1,0.22538,0,20,20,20,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,1,OLD,,,1,1,0.277665,0,21,21,21,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Writing_C.wav,2,SIMILAR,,,2,1,0.3194,0,22,22,22,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,1,OLD,,,1,1,0.2577,0,23,23,23,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cough_A.wav,3,NEW,,,3,1,0.05985,0,24,24,24,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,1,OLD,,,2,0,1.51191,0,25,25,25,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,3,NEW,,,3,1,0.371155,0,26,26,26,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,3,NEW,,,3,1,0.000515,0,27,27,27,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,NEW,,,2,0,0.26739,0,28,28,28,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,,,3,1,0.50019,0,29,29,29,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_E.wav,2,SIMILAR,,,2,1,0.284145,0,30,30,30,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_B.wav,2,SIMILAR,,,3,0,0.194795,0,31,31,31,1,,
