VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,2,0,1.484475,0,5,5,5,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,2,0,1.756805,0,6,6,6,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.351025,0,7,7,7,1,,
,,,,,,,,,,,,,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,1,OLD,,,1,1,0.334485,0,8,8,8,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,3,1,0.471105,0,9,9,9,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,NEW,,,2,0,0.317875,0,10,10,10,1,,
,,,,,,,,,,,,,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,1,1,0.267855,0,11,11,11,1,,
,,,,,,,,,,,,,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,1,1,0.341155,0,12,12,12,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,3,0,1.17107,0,13,13,13,1,,
,,,,,,,,,,,,,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,1,OLD,,,2,0,1.70709,0,14,14,14,1,,
